journal_name	abbr_name	issn	eissn	impact_factor	impact_factor_5_year	category	jcr_quartile	rank	total_num_of_journals
CA-A CANCER JOURNAL FOR CLINICIANS	CA-CANCER J CLIN	0007-9235	1542-4863	503.1	297.0	ONCOLOGY	Q1	1	322
NATURE REVIEWS DRUG DISCOVERY	NAT REV DRUG DISCOV	1474-1776	1474-1784	122.7	114.9	PHARMACOLOGY & PHARMACY	Q1	1	354
LANCET	LANCET	0140-6736	1474-547X	98.4	106.9	MEDICINE, GENERAL & INTERNAL	Q1	1	325
NEW ENGLAND JOURNAL OF MEDICINE	NEW ENGL J MED	0028-4793	1533-4406	96.2	94.3	MEDICINE, GENERAL & INTERNAL	Q1	2	325
BMJ-British Medical Journal	BMJ-BRIT MED J	0959-535X	1756-1833	93.6	69.9	MEDICINE, GENERAL & INTERNAL	Q1	3	325
NATURE REVIEWS MOLECULAR CELL BIOLOGY	NAT REV MOL CELL BIO	1471-0072	1471-0080	81.3	115.5	CELL BIOLOGY	Q1	1	205
Nature Reviews Clinical Oncology	NAT REV CLIN ONCOL	1759-4774	1759-4782	81.1	81.5	ONCOLOGY	Q1	2	322
Nature Reviews Materials	NAT REV MATER	2058-8437	2058-8437	79.8	85.7	NANOSCIENCE & NANOTECHNOLOGY	Q1	1	140
Nature Reviews Disease Primers	NAT REV DIS PRIMERS	2056-676X	2056-676X	76.9	92.6	MEDICINE, GENERAL & INTERNAL	Q1	4	325
NATURE REVIEWS CANCER	NAT REV CANCER	1474-175X	1474-1768	72.5	77.2	ONCOLOGY	Q1	3	322
NATURE REVIEWS MICROBIOLOGY	NAT REV MICROBIOL	1740-1526	1740-1534	69.2	81.3	MICROBIOLOGY	Q1	1	161
NATURE REVIEWS IMMUNOLOGY	NAT REV IMMUNOL	1474-1733	1474-1741	67.7	78.1	IMMUNOLOGY	Q1	1	181
Foundations and Trends in Machine Learning	FOUND TRENDS MACH LE	1935-8237	1935-8245	65.3	70.8	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	Q1	1	197
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	JAMA-J AM MED ASSOC	0098-7484	1538-3598	63.1	66.8	MEDICINE, GENERAL & INTERNAL	Q1	5	325
World Psychiatry	WORLD PSYCHIATRY	1723-8617	2051-5545	60.5	55.5	PSYCHIATRY	Q1	1	276
NATURE MEDICINE	NAT MED	1078-8956	1546-170X	58.7	59.2	MEDICINE, RESEARCH & EXPERIMENTAL	Q1	1	189
ANNALS OF ONCOLOGY	ANN ONCOL	0923-7534	1569-8041	56.7	38.2	ONCOLOGY	Q1	4	322
CHEMICAL REVIEWS	CHEM REV	0009-2665	1520-6890	51.4	63.5	CHEMISTRY, MULTIDISCIPLINARY	Q1	1	230
NATURE	NATURE	0028-0836	1476-4687	50.5	54.4	MULTIDISCIPLINARY SCIENCES	Q1	1	134
Nature Reviews Methods Primers	NAT REV METHOD PRIME		2662-8449	50.1	50.1	MULTIDISCIPLINARY SCIENCES	Q1	2	134
Nature Energy	NAT ENERGY	2058-7546	2058-7546	49.7	62.3	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	2	438
Nature Reviews Earth & Environment	NAT REV EARTH ENV		2662-138X	49.7	54.5	GEOSCIENCES, MULTIDISCIPLINARY	Q1	1	253
CANCER CELL	CANCER CELL	1535-6108	1878-3686	48.8	42.1	ONCOLOGY	Q1	5	322
LANCET NEUROLOGY	LANCET NEUROL	1474-4422	1474-4465	46.5	51.6	CLINICAL NEUROLOGY	Q1	1	277
Nature Reviews Gastroenterology & Hepatology	NAT REV GASTRO HEPAT	1759-5045	1759-5053	45.9	65.1	GASTROENTEROLOGY & HEPATOLOGY	Q1	1	143
REVIEWS OF MODERN PHYSICS	REV MOD PHYS	0034-6861	1539-0756	45.9	52.1	PHYSICS, MULTIDISCIPLINARY	Q1	1	110
CELL	CELL	0092-8674	1097-4172	45.5	49.0	CELL BIOLOGY	Q1	4	205
Nature Reviews Physics	NAT REV PHYS		2522-5820	44.8	44.6	PHYSICS, MULTIDISCIPLINARY	Q1	2	110
SCIENCE	SCIENCE	0036-8075	1095-9203	44.7	50.3	MULTIDISCIPLINARY SCIENCES	Q1	3	134
Lancet Diabetes & Endocrinology	LANCET DIABETES ENDO	2213-8587	2213-8595	44.0	38.2	ENDOCRINOLOGY & METABOLISM	Q1	1	186
eScience	ESCIENCE		2667-1417	42.9	42.9	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	3	438
Nature Catalysis	NAT CATAL	2520-1158	2520-1158	42.8	47.0	CHEMISTRY, PHYSICAL	Q1	1	178
JOURNAL OF CLINICAL ONCOLOGY	J CLIN ONCOL	0732-183X	1527-7755	42.1	37.4	ONCOLOGY	Q1	6	322
Nature Reviews Cardiology	NAT REV CARDIOL	1759-5002	1759-5010	41.7	46.5	CARDIAC & CARDIOVASCULAR SYSTEMS	Q1	1	220
LANCET ONCOLOGY	LANCET ONCOL	1470-2045	1474-5488	41.6	42.2	ONCOLOGY	Q1	7	322
Signal Transduction and Targeted Therapy	SIGNAL TRANSDUCT TAR	2095-9907	2059-3635	40.8	40.5	CELL BIOLOGY	Q1	5	205
CHEMICAL SOCIETY REVIEWS	CHEM SOC REV	0306-0012	1460-4744	40.4	48.1	CHEMISTRY, MULTIDISCIPLINARY	Q1	2	230
NATURE REVIEWS GENETICS	NAT REV GENET	1471-0056	1471-0064	39.1	52.3	GENETICS & HEREDITY	Q1	1	191
Lancet Respiratory Medicine	LANCET RESP MED	2213-2600		38.7	41.3	RESPIRATORY SYSTEM	Q1	1	100
Joule	JOULE	2542-4351	2542-4351	38.6	44.8	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q1	4	438
Nature Nanotechnology	NAT NANOTECHNOL	1748-3387	1748-3395	38.1	39.6	NANOSCIENCE & NANOTECHNOLOGY	Q1	2	140
Nature Reviews Chemistry	NAT REV CHEM		2397-3358	38.1	39.6	CHEMISTRY, MULTIDISCIPLINARY	Q1	3	230
EUROPEAN HEART JOURNAL	EUR HEART J	0195-668X	1522-9645	37.6	32.6	CARDIAC & CARDIOVASCULAR SYSTEMS	Q1	2	220
