relation_type	description	definition	resource	abbr	source_type	target_type
bioarx::Coronavirus_ass_host_gene::Disease:Gene	Gene associated with a disease caused by a coronavirus	Coronavirus-associated host gene	bioarx	Coronavirus_ass_host_gene	Disease	Gene
bioarx::Covid2_acc_host_gene::Disease:Gene	Gene associated with a disease caused by COVID-2	COVID-2 accessory host gene	bioarx	Covid2_acc_host_gene	Disease	Gene
bioarx::DrugHumGen:Compound:Gene	Compound that affects the activity of a human gene	Drug affects human gene	bioarx	DrugHumGen	Compound	Gene
bioarx::DrugVirGen:Compound:Gene	Compound that affects the activity of a viral gene	Drug affects viral gene	bioarx	DrugVirGen	Compound	Gene
bioarx::HumGenHumGen:Gene:Gene	Interaction between two human genes	Human gene interaction with human gene	bioarx	HumGenHumGen	Gene	Gene
bioarx::VirGenHumGen:Gene:Gene	Interaction between a viral gene and a human gene	Viral gene interaction with human gene	bioarx	VirGenHumGen	Gene	Gene
DGIDB::ACTIVATOR::Gene:Compound	Compound that activates the specified gene	Gene activator	DGIDB	ACTIVATOR	Gene	Compound
DGIDB::AGONIST::Gene:Compound	Compound that acts as an agonist for the specified gene	Gene agonist	DGIDB	AGONIST	Gene	Compound
DGIDB::ALLOSTERIC MODULATOR::Gene:Compound	Compound that modulates the specified gene's activity allosterically	Allosteric modulator of gene	DGIDB	ALLOSTERIC MODULATOR	Gene	Compound
DGIDB::ANTAGONIST::Gene:Compound	Compound that acts as an antagonist for the specified gene	Gene antagonist	DGIDB	ANTAGONIST	Gene	Compound
DGIDB::ANTIBODY::Gene:Compound	Compound that is an antibody targeting the specified gene	Gene-targeted antibody	DGIDB	ANTIBODY	Gene	Compound
DGIDB::BINDER::Gene:Compound	Compound that binds to the specified gene	Gene binder	DGIDB	BINDER	Gene	Compound
DGIDB::BLOCKER::Gene:Compound	Compound that acts as a blocker for the specified gene	Gene blocker	DGIDB	BLOCKER	Gene	Compound
DGIDB::CHANNEL BLOCKER::Gene:Compound	Compound that blocks a channel associated with the specified gene	Gene channel blocker	DGIDB	CHANNEL BLOCKER	Gene	Compound
DGIDB::INHIBITOR::Gene:Compound	Compound that inhibits the specified gene	Gene inhibitor	DGIDB	INHIBITOR	Gene	Compound
DGIDB::MODULATOR::Gene:Compound	Compound that modulates the activity of the specified gene	Gene modulator	DGIDB	MODULATOR	Gene	Compound
DGIDB::OTHER::Gene:Compound	Gene interaction type that doesn't fit into other categories	Other gene interaction	DGIDB	OTHER	Gene	Compound
DGIDB::PARTIAL AGONIST::Gene:Compound	Compound that acts as a partial agonist for the specified gene	Gene partial agonist	DGIDB	PARTIAL AGONIST	Gene	Compound
DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	Compound that positively modulates the specified gene's activity allosterically	Positive allosteric modulator of gene	DGIDB	POSITIVE ALLOSTERIC MODULATOR	Gene	Compound
DRUGBANK::carrier::Compound:Gene	Compound that acts as a carrier for another compound or drug	Drug carrier	DRUGBANK	carrier	Compound	Gene
DRUGBANK::ddi-interactor-in::Compound:Compound	Compound that interacts with another compound in terms of drug-drug interactions	Drug-drug interaction interactor	DRUGBANK	ddi-interactor-in	Compound	Compound
DRUGBANK::enzyme::Compound:Gene	Compound that targets and affects the activity of the specified gene as an enzyme	Drug target enzyme	DRUGBANK	enzyme	Compound	Gene
DRUGBANK::target::Compound:Gene	Compound that targets and affects the specified gene	Drug target	DRUGBANK	target	Compound	Gene
DRUGBANK::treats::Compound:Disease	Compound used to treat the specified disease	Drug treats disease	DRUGBANK	treats	Compound	Disease
DRUGBANK::x-atc::Compound:Atc	Compound classified according to the Anatomical Therapeutic Chemical (ATC) classification system	Compound ATC classification	DRUGBANK	x-atc	Compound	Atc
GNBR::A+::Compound:Gene	Activation of a compound stimulates the gene	"(A+) agonism, activation"	GNBR	A+	Compound	Gene
GNBR::A-::Compound:Gene	Inhibition of the gene by a compound	"(A-) antagonism, blocking"	GNBR	A-	Compound	Gene
GNBR::B::Compound:Gene	Binding of a compound to a gene (especially receptors)	"(B) binding, ligand (esp. receptors)"	GNBR	B	Compound	Gene
GNBR::B::Gene:Gene	Binding of one gene to another gene (especially receptors)	"(B) binding, ligand (esp. receptors)"	GNBR	B	Gene	Gene
