id	relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	created_at	curator	pmid
7	associated_with	2-5A synthetase/RNase L pathway	Pathway	Unknown:Unknown	CFS	Disease	MESH:D000069290	"The 2-5A synthetase/RNase L pathway in CFS patients appears to be both up-regulated (i.e. increased levels of bioactive 2-5A synthetase and increased activity of the RNase L enzyme) and deregulated (elastase and calpain initiate 83 kDa RNase L proteolysis, generating two major fragments with molecular masses of 37 and 30 kDa, respectively)."	2023-09-01 06:39:14.88133+00	1635231996@qq.com	16277015
12	biomarker	alpha-1-macroglobulin	Protein	Unknown:Unknown	CFS	Disease	MESH:D000069290	"The proteins were alpha-1-macroglobulin, amyloid precursor-like protein 1, keratin 16, orosomucoid 2 and pigment epithelium-derived factor."	2023-09-01 06:39:54.322892+00	1635231996@qq.com	16321154
13	biomarker	amyloid precursor-like protein 1	Protein	Unknown:Unknown	CFS	Disease	MESH:D000069290	"The proteins were alpha-1-macroglobulin, amyloid precursor-like protein 1, keratin 16, orosomucoid 2 and pigment epithelium-derived factor."	2023-09-01 06:40:04.38047+00	1635231996@qq.com	16321154
14	biomarker	keratin 16	Protein	Unknown:Unknown	CFS	Disease	MESH:D000069290	"The proteins were alpha-1-macroglobulin, amyloid precursor-like protein 1, keratin 16, orosomucoid 2 and pigment epithelium-derived factor."	2023-09-01 06:40:11.359062+00	1635231996@qq.com	16321154
15	biomarker	orosomucoid 2	Protein	Unknown:Unknown	CFS	Disease	MESH:D000069290	"The proteins were alpha-1-macroglobulin, amyloid precursor-like protein 1, keratin 16, orosomucoid 2 and pigment epithelium-derived factor."	2023-09-01 06:40:17.655884+00	1635231996@qq.com	16321154
16	biomarker	pigment epithelium-derived factor	Protein	Unknown:Unknown	CFS	Disease	MESH:D000069290	"The proteins were alpha-1-macroglobulin, amyloid precursor-like protein 1, keratin 16, orosomucoid 2 and pigment epithelium-derived factor."	2023-09-01 06:40:24.44305+00	1635231996@qq.com	16321154
17	biomarker	NPY	Protein	Unknown:Unknown	CFS	Disease	MESH:D000069290	"The significant correlations of NPY with stress, negative mood, general health, depression and cognitive function strongly suggest that this peptide be considered as a biomarker to distinguish subsets of CFS."	2023-09-01 06:49:16.177161+00	1635231996@qq.com	21190576
18	associated_with	fatigue	Symptom	MESH:D005221	WASF3	Gene	ENTREZ:10810	"In particular, the gene WASF3 (aka WAVE3) possibly regulates brain cytokines involved in the mechanism of fatigue through the p38 MAPK regulatory pathway."	2023-09-01 06:54:13.362903+00	1635231996@qq.com	21584188
19	associated_with	p38 MAPK regulatory pathway	Pathway	Unknown:Unknown	WASF3	Gene	ENTREZ:10810	"In particular, the gene WASF3 (aka WAVE3) possibly regulates brain cytokines involved in the mechanism of fatigue through the p38 MAPK regulatory pathway."	2023-09-01 06:54:22.860818+00	1635231996@qq.com	21584188
20	biomarker	WASF3	Gene	ENTREZ:10810	CFS	Disease	MESH:D000069290	"In particular, the gene WASF3 (aka WAVE3) possibly regulates brain cytokines involved in the mechanism of fatigue through the p38 MAPK regulatory pathway."	2023-09-01 06:54:33.641281+00	1635231996@qq.com	21584188
21	biomarker	NK cytotoxic activity	BiologicalProcess	Unknown:Unknown	CFS/ME	Disease	MONDO:0005404	"Furthermore, NK cytotoxic activity may be a suitable biomarker for diagnosing CFS/ME as it was consistently decreased during the course of the 12 months study."	2023-09-02 13:46:47.301099+00	1635231996@qq.com	22571715
23	associated_with	IFN-γ	Protein	Unknown:Unknown	CFS/ME	Disease	MESH:D000069290	"Interestingly, following mitogenic stimulation, cytokine secretion revealed significant increases in IL-10, IFN-γ and TNF-α at T1 in the CFS/ME group."	2023-09-01 07:04:31.455527+00	1635231996@qq.com	22571715
27	associated_with	IL-2	Protein	Unknown:Unknown	CFS/ME	Disease	MESH:D000069290	"A significant decrease was observed at T2 in the CFS/ME group for IL-10 and IL-17A while at T3, IL-2 was increased in the CFS/ME group in comparison to the non-fatigued controls."	2023-09-01 07:05:19.710768+00	1635231996@qq.com	22571715
24	associated_with	TNF-α	Protein	Unknown:Unknown	CFS/ME	Disease	MESH:D000069290	"Interestingly, following mitogenic stimulation, cytokine secretion revealed significant increases in IL-10, IFN-γ and TNF-α at T1 in the CFS/ME group."	2023-09-01 07:04:42.668936+00	1635231996@qq.com	22571715
26	associated_with	IL-17A	Protein	Unknown:Unknown	CFS/ME	Disease	MESH:D000069290	"A significant decrease was observed at T2 in the CFS/ME group for IL-10 and IL-17A while at T3, IL-2 was increased in the CFS/ME group in comparison to the non-fatigued controls."	2023-09-01 07:05:11.863187+00	1635231996@qq.com	22571715
28	associated_with	IL-10	Gene	Unknown:Unknown	CFS/ME	Disease	MESH:D000069290	"Of the 27 cytokines examined, only IL-10 was significantly reduced in the CFS/ME patients in comparison to the controls."	2023-09-02 16:16:26.100395+00	1635231996@qq.com	25834308
29	associated_with	iNKT CD62L	Protein	Unknown:Unknown	CFS/ME	Disease	MONDO:0005404	"Over time, iNKT CD62L expression significantly increased in moderate CFS/ME patients and CD56(bright) NK receptors differed in severe CFS/ME."	2023-09-02 16:40:55.928884+00	1635231996@qq.com	26370228
30	associated_with	CD56(bright) NK receptors	Protein	Unknown:Unknown	CFS/ME	Disease	MONDO:0005404	"Over time, iNKT CD62L expression significantly increased in moderate CFS/ME patients and CD56(bright) NK receptors differed in severe CFS/ME."	2023-09-02 16:41:01.360759+00	1635231996@qq.com	26370228
31	associated_with	Naïve CD8(+)T cells	BiologicalProcess	Unknown:Unknown	CFS/ME	Disease	MONDO:0005404	"Naïve CD8(+)T cells, CD8(-)CD4(-) and CD56(-)CD16(-) iNKT phenotypes, γδ2T cells and effector memory subsets were significantly increased in severe CFS/ME patients at 6 months."	2023-09-02 16:41:05.582897+00	1635231996@qq.com	26370228
32	associated_with	CD8(-)CD4(-)	BiologicalProcess	Unknown:Unknown	CFS/ME	Disease	MONDO:0005404	"Naïve CD8(+)T cells, CD8(-)CD4(-) and CD56(-)CD16(-) iNKT phenotypes, γδ2T cells and effector memory subsets were significantly increased in severe CFS/ME patients at 6 months."	2023-09-02 16:41:08.934491+00	1635231996@qq.com	26370228
33	associated_with	γδ2T cells	BiologicalProcess	Unknown:Unknown	CFS/ME	Disease	MONDO:0005404	"Naïve CD8(+)T cells, CD8(-)CD4(-) and CD56(-)CD16(-) iNKT phenotypes, γδ2T cells and effector memory subsets were significantly increased in severe CFS/ME patients at 6 months."	2023-09-02 16:41:14.624709+00	1635231996@qq.com	26370228
34	associated_with	CD56(bright)CD16(dim) NKG2D	BiologicalProcess	Unknown:Unknown	CFS/ME	Disease	MONDO:0005404	"Severe CFS/ME patients were significantly reduced in CD56(bright)CD16(dim) NKG2D, CD56(dim)CD16(-) KIR2DL2/DL3, CD94(-)CD11a(-) γδ1T cells and CD62L(+)CD11a(-) γδ1T cells at 6 months."	2023-09-02 16:41:18.020859+00	1635231996@qq.com	26370228
35	associated_with	CD56(dim)CD16(-) KIR2DL2/DL3	BiologicalProcess	Unknown:Unknown	CFS/ME	Disease	MONDO:0005404	"Severe CFS/ME patients were significantly reduced in CD56(bright)CD16(dim) NKG2D, CD56(dim)CD16(-) KIR2DL2/DL3, CD94(-)CD11a(-) γδ1T cells and CD62L(+)CD11a(-) γδ1T cells at 6 months."	2023-09-02 16:41:21.257178+00	1635231996@qq.com	26370228
36	associated_with	CD94(-)CD11a(-) γδ1T cells	BiologicalProcess	Unknown:Unknown	CFS/ME	Disease	MONDO:0005404	"Severe CFS/ME patients were significantly reduced in CD56(bright)CD16(dim) NKG2D, CD56(dim)CD16(-) KIR2DL2/DL3, CD94(-)CD11a(-) γδ1T cells and CD62L(+)CD11a(-) γδ1T cells at 6 months."	2023-09-02 16:41:37.482522+00	1635231996@qq.com	26370228
37	associated_with	CD62L(+)CD11a(-) γδ1T cells	BiologicalProcess	Unknown:Unknown	CFS/ME	Disease	MONDO:0005404	"Severe CFS/ME patients were significantly reduced in CD56(bright)CD16(dim) NKG2D, CD56(dim)CD16(-) KIR2DL2/DL3, CD94(-)CD11a(-) γδ1T cells and CD62L(+)CD11a(-) γδ1T cells at 6 months."	2023-09-02 16:41:44.727047+00	1635231996@qq.com	26370228
